Come quickly!	Przyjdź szybko!
It's very hot here.	Bardzo tu gorąco.
Tom started packing his things up.	Tom zaczął pakować swoje rzeczy.
I laughed aloud.	Śmiałam się głośno.
I like football.	Uwielbiam piłkę nożną.
Tom has a birthday in October.	Tom ma urodziny w październiku.
I can't look at this anymore.	Nie mogę już na to patrzeć.
I wonder where the ice cream is. Do you think Tom could've eaten it all?	Zastanawiam się, gdzie są lody. Myślisz, że Tom mógł zjeść wszystkie?
Yesterday I listened to a very beautiful song.	Wczoraj słuchałem pięknej piosenki.
I need friends.	Potrzebuję przyjaciół.
Tom must be Canadian.	Tom musi być Kanadyjczykiem.
There's not a drop of water left.	Nie została już ani kropla wody.
I saw nothing.	Nic nie widziałem.
We need to talk about it.	Musimy o tym rozmawiać.
I didn't win.	Nie wygrałem.
We have to water the flowers.	Musimy podlać kwiaty.
Whales are mammals.	Wieloryby to ssaki.
Vladivostok is a city in Russia.	Władywostok to miasto w Rosji.
Boys spend more time playing video games than girls.	Chłopcy spędzają więcej czasu grając w gry komputerowe niż dziewczyny.
We were really close.	Byliśmy bardzo blisko.
Didn't you know that I used to teach French in Boston?	Nie wiedziałeś o tym, że uczyłem francuskiego w Bostonie?
The boy hit the ball with his new bat.	Chłopiec uderzył piłkę swoim nowym kijem baseballowym.
He doesn't know how to play the guitar.	On nie umie grać na gitarze.
Do you want to say it or should I?	Chcesz to powiedzieć, czy ja powinienem?
Tom talks as if he already knows the secret.	Tom mówi, jakby już znał sekret.
There are a lot of books in the library.	Jest wiele książek w bibliotece.
It didn't seem necessary.	To nie wydawało się potrzebne.
She almost drowned.	Prawie się utopiła.
I saw Tom, but he didn't see me.	Widziałem Toma, ale on mnie nie widział.
How many boys are in this class?	Ilu chłopców jest w tej klasie?
Tom is in your car.	Tom jest w twoim samochodzie.
He was startled by the explosion.	Był zaskoczony wybuchem.
Butter is made from cream.	Masło jest zrobione z mleka.
Tom left something on the table for you.	Tom zostawił dla ciebie coś na stole.
Do I have your permission to do so?	Mam na to twoje pozwolenie?
I tried to find Tom.	Próbowałem znaleźć Toma.
I often go swimming at the beach in the summer.	Latem często chodzę popływać na plażę.
Tom is often in trouble with the law.	Tom często ma kłopoty z prawem.
Tom has nothing to do.	Tom nie ma nic do roboty.
Listen.	Słuchaj.
She was about to start.	Miała właśnie zacząć.
I don't understand this decision.	Nie rozumiem tej decyzji.
Tom's name was third on the list.	Imię Toma było trzecie na liście.
I looked everywhere.	Patrzyłem wszędzie.
You should trust your gut.	Powinieneś zaufać swojemu przeczuciu.
He has an incurable disease.	On ma nieuleczalną chorobę.
They congratulated us on our victory.	Pogratulowali nam zwycięstwa.
Tom couldn't move.	Tom nie mógł się ruszyć.
What did you do with your camera?	Co zrobiłeś ze swoim aparatem?
The problem is too difficult to solve.	Problem jest za trudny do rozwiązania.
This poem was written last night.	Ten wiersz został napisany wczoraj w nocy.
I think he's happy.	Myślę, że on jest szczęśliwy.
Do you understand that?	Rozumiesz to?
I wonder whether Tom really told Mary to do that.	Zastanawiam się, czy Tom naprawdę powiedział Mary, żeby to zrobiła.
Is it OK if I hug you?	Czy to w porządku, jeśli cię przytulę?
I assume you're getting paid for this.	Zakładam, że ci za to płacą.
I got tired of waiting for Tom, so I went on home.	Zmęczyłem się czekaniem na Toma, więc poszedłem do domu.
Tom knew nothing.	Tom nic nie wiedział.
Tom compromised.	Tom poszedł na kompromis.
When was the last time you took a shower?	Kiedy ostatnio brałeś prysznic?
Is a tomato a fruit or a vegetable?	Pomidor jest owocem czy warzywem?
Tom explained the reasons for his decision.	Tom wytłumaczył powody swojej decyzji.
Are you sure we should be doing this?	Jesteś pewien, że powinniśmy to robić?
You are not able to swim, are you?	Nie umiesz pływać, prawda?
What we really want is some meat.	Tak naprawdę chcemy trochę mięsa.
Tom said that Mary is angry.	Tom powiedział, że Mary jest zła.
I ate a nutritious breakfast.	Zjadłam pożywne śniadanie.
Your time is over.	Twój czas się skończył.
He insulted me without reason.	On mnie obraził bez powodu.
Tom sat reading a book.	Tom siedział i czytał książkę.
You're dedicated.	Jesteś oddany.
I want to go abroad.	Chciałabym wyjechać za granicę.
I'm interested in chess these days.	Zainteresowałem się ostatnio szachami.
You're paying.	Płacisz.
Tom has already started.	Tom już zaczął.
I don't know how to pronounce his name.	Nie wiem, jak wymówić jego imię.
I don't even want to think about why.	Nie chcę nawet myśleć, dlaczego.
What else do you know about that?	Co jeszcze wiesz o tym?
He has never been abroad.	On nigdy nie był za granicą.
I wish I could figure out how to stop my children from fighting.	Chciałbym wiedzieć, jak oduczyć moje dzieci bicia się między sobą.
I can't say that.	Nie mogę tego powiedzieć.
Please don't run down the stairs.	Proszę nie zbiegać ze schodów.
If it had not been for your aid, I would not have succeeded in my business.	Bez twojej pomocy nie udałyby mi się interesy.
Why didn't Tom call for help?	Czemu Tom nie wzywał pomocy?
Tom shouldn't have spent so much money.	Tom nie powinien był tyle wydawać.
Tom shot at Mary with a crossbow.	Tom strzelił do Mary z kuszy.
They won't mind.	Nie będą mieli nic przeciwko.
It's dangerous to cross the bridge.	Niebezpiecznie jest iść po moście.
Would anyone like some coffee?	Czy ktoś chce kawę?
I'm afraid that's no longer possible.	Obawiam się, że to już nie jest możliwe.
You're wounded.	Jesteś ranny.
Tom burped.	Tom beknął.
The museum is worth a visit.	To muzeum jest warte odwiedzenia.
My mother is seriously ill.	Moja matka jest poważnie chora.
That school looks just like a prison.	Ta szkoła wygląda jak więzienie.
I'm not going to need any help.	Nie będę potrzebować żadnej pomocy.
Life is hard.	Życie jest ciężkie.
We may as well stay where we are.	Równie dobrze możemy pozostać tam, gdzie jesteśmy.
Tom told me that he thought Mary was insane.	Tom powiedział mi, że myślał, że Mary jest szalona.
Don't open those windows.	Nie otwieraj tych okien.
A fool and his money are soon parted.	Głupiec szybko trwoni pieniądze.
You have thirty messages.	Masz trzydzieści wiadomości.
How much money do you have with you?	Ile masz przy sobie pieniędzy?
I hurried.	Spieszyłem się.
Tom almost didn't recognize Mary.	Tom prawie nie rozpoznał Mary.
I thought you'd agree.	Myślałem, że się zgodzisz.
I retired last year.	Przeszedłem na emeryturę w poprzednim roku.
Can these people be trusted?	Można zaufać tym ludziom?
Elves have pointy ears.	Elfy mają szpiczaste uszy.
Can I eat this orange?	Mogę zjeść tę pomarańczę?
That's not the best example.	To nie jest najlepszy przykład.
I thought that you were a man of honor.	Myślałem, że jesteś człowiekiem honoru.
Tom asked Mary which way to turn.	Tom spytał Mary, w którą stronę skręcić.
We saw you.	Widzieliśmy cię.
Please don't ask.	Proszę nie pytaj.
Is that black bag yours?	Czy ta czarna torba jest pańska?
I don't have any books to read.	Nie mam książki do czytania.
Having finished breakfast, I hurried to school.	Po skończeniu śniadania pospieszyłam do szkoły.
You're thin.	Jesteś cienki.
She played a waltz on the piano.	Grała na fortepianie walca.
Didn't your parents give you anything?	Rodzice nic Ci nie dali?
I told him about our school.	Opowiedziałem mu o naszej szkole.
Does that price include breakfast?	Czy w cenę jest wliczone śniadanie?
What a sweet puppy!	Jaki słodki szczeniak!
I need to go into town.	Muszę iść do miasta.
Most people consider murder wrong.	Większość ludzi uważa morderstwo za zło.
Tom was very tired.	Tom był bardzo zmęczony.
She left the company after 20 years.	Zrezygnowała z pracy w firmie po 20 latach.
I didn't catch what he said.	Nie zrozumiałem, co on powiedział.
Tom asked Mary if she knew his new address.	Tom spytał Mary, czy zna jego nowy adres.
Do you have an alibi?	Czy masz alibi?
She shot him.	Postrzeliła go.
Tom likes fruit.	Tom lubi owoce.
Don't exaggerate.	Nie przesadzaj.
We all want prices to fall.	Wszyscy chcemy, by ceny spadły.
Would you mind doing that somewhere else?	Mógłbyś robić to gdzieś indziej?
Tom filled the empty glass with ice.	Tom napełnił pustą szklankę lodem.
When does the show start?	Kiedy zacznie się spektakl?
You seem to be an honest man.	Wydajesz się uczciwym człowiekiem.
School will start next Monday.	Zajęcia w szkole zaczynają się w następny poniedziałek.
Something you should know about me is that my greatest fear in life is that people will find out that I'm poor.	Trzeba ci wiedzieć, że moją największą obawą w życiu jest to, że ludzie zorientują się, że jestem ubogi.
It is close to seven o'clock.	Dochodzi siódma.
Do you love him?	Czy ty go kochasz?
Some people will not eat fish with milk.	Niektórzy unikają jedzenia ryb z mlekiem.
They say that he's still alive.	Mówią, że on nadal żyje.
I forgot you don't like carrots.	Zapomniałem, że nie lubisz marchewek.
This medicine is good for headaches.	Ten lek jest dobry na ból głowy.
We almost didn't make it to the church on time.	Prawie nie wyrobiliśmy się na czas do kościoła.
Tom isn't going to wait.	Tom nie zamierza czekać.
Tom can sleep here if he wants to.	Tom może tu spać, jeśli chce.
I don't need your help, but you need mine.	Nie potrzebuję twojej pomocy, ale za to ty potrzebujesz mojej.
The price includes tax.	Cena zawiera podatek.
You're fashionable.	Jesteś modny.
I love studying history.	Lubię studiować historię.
I hope the work is finished.	Mam nadzieję, że praca jest skończona.
Do you really want to stay for another three days?	Czy naprawdę chcesz zostać przez kolejne trzy dni?
I always take the bus.	Zawsze jeżdżę autobusem.
No one lives in that house.	Nikt nie mieszka w tym domu.
Tom closed his eyes and began to count sheep.	Tom zamknął oczy i zaczął liczyć owce.
They haven't done anything wrong.	Nie zrobili nic źle.
He will learn to do it in three hours.	Nauczy się robić to w trzy godziny.
How could you turn me in?	Jak mogłeś na mnie donieść?
I'll visit you on Sunday, if I don't write you to the contrary.	Przyjdę do ciebie w niedzielę, chyba że dam znać wcześniej, że nie.
I can be reasonable.	Mogę być rozsądny.
Tom will eventually give up.	Tom w końcu się podda.
She made faces at that woman.	Stroiła miny do tamtej kobiety.
Don't spend so much time watching television.	Nie spędzaj tyle czasu oglądając telewizję.
I'm always careful.	Zawsze jestem ostrożny.
Let's try.	Spróbujmy.
There's nothing out of the ordinary.	Nie ma nic nadzwyczajnego.
Hey, that's mine.	Hej, to jest moje.
I know that she is beautiful.	Wiem, że jest piękna.
He cannot sing well.	On śpiewa słabo.
I am ready for death.	Jestem gotowy na śmierć.
There were only six people at the party.	Na przyjęciu było tylko sześć osób.
Who was not here?	Kogo tam nie było?
I go to work every day.	Codziennie chodzę do pracy.
Keep writing.	Pisz dalej.
He played golf last Sunday.	Grał w golfa ostatniej niedzieli.
Tom lived in a one-bedroom apartment.	Tom mieszkał w kawalerce.
I lost my watch yesterday.	Wczoraj straciłem zegarek.
Give me back my phone.	Oddaj mi telefon.
There's no elevator.	Nie ma windy.
Tom was at Mary's baptism.	Tom był na chrzcie Mary.
A true friendship will last forever.	Prawdziwa przyjaźń będzie trwać zawsze.
Tom revealed the secret.	Tom ujawnił sekret.
There are a lot of big cities in Brazil.	W Brazylii jest wiele dużych miast.
I got attacked by a bear.	Zostałem zaatakowany przez niedźwiedzia.
I heard the telephone ringing.	Usłyszałem dzwoniący telefon.
Where does your sister go to school?	Do jakiej szkoły chodzi twoja siostra?
I think so, too.	Też tak myślę.
I told you we should've gotten here earlier. Now there aren't any places left to sit.	Mówiłem ci, że musimy przyjść wcześniej. Teraz nie ma już miejsc do siedzenia.
Many people are on vacation.	Wielu ludzi ma urlop.
Tom is a social democrat.	Tom jest socjaldemokratą.
I don't need to go to Boston until next week.	Nie muszę jechać do Bostonu przed przyszłym tygodniem.
I've always been a Republican.	Zawsze byłem republikaninem.
She is always busy.	Ona jest wiecznie zajęta.
I'm not in the mood for this.	Nie jestem w humorze na to.
You know how I feel about that.	Wiesz, co o tym sądzę.
Sit right there.	Usiądź tutaj.
I am afraid your plan will not work.	Obawiam się, że twój plan nie zadziała.
I don't belong to any club.	Nie należę do żadnego klubu.
The reason for your failure is that you did not try hard enough.	Powodem twojego niepowodzenia jest to, że nie pracowałeś wystarczająco intensywnie.
We discussed our plans for a trip to Italy over coffee.	Przedyskutowaliśmy nasz plan wyjazdu do Włoch przy kawie.
I will show you around the city.	Pokażę ci miasto.
Tom was the one who hit me.	To Tom mnie uderzył.
See you!	Na razie!
The policeman unlocked Tom's handcuffs.	Policjant otworzył kajdanki Toma.
I heard that Mary was sick all last week, but she looks well now.	Słyszałem, że Mary była chora cały ubiegły tydzień, ale teraz wygląda już dobrze.
Tom didn't know what Mary had done.	Tom nie wiedział, co Mary zrobiła.
His only wish was to see his son again one more time.	On jedynie chce ten ostatni raz zobaczyć się ze swoim synem.
These rules are already in place.	Te zasady już obowiązują.
Tom and Mary switched places on the bench.	Tom i Mary zamienili się miejscami na ławce.
Did anyone laugh?	Czy ktoś się śmiał?
Come on, guys. This is not funny anymore.	No weźcie, chłopaki. To już nie jest śmieszne.
You're an inspiration to us all.	Jesteś inspiracją dla nas wszystkich.
I don't blame you.	Nie winię cię.
Did you arrest Tom?	Aresztowałeś Tom'a?
